江边晓望（清·徐昂发）　　七言律诗　押萧韵	白露黏天水势骄，荒洲芦荻自萧萧。五更酒醒百忧集，孤艇梦回千里遥。虫响断时秋过雨，月明多处夜吹箫。江城铁瓮看如许，满眼寒芜打怒潮。
扬州（清·徐昂发）　　七言律诗　押麻韵	木鹅沉处锦帆斜，隋氏离宫接暮霞。辱井有魂悲《玉树》，仙都无梦饷金蛇。裙缫禹穴千年茧，镜拥迷楼万朵花。莫向吴公台上望，江南江北总无家①。
淮阴侯钓台（清·徐昂发）　　七言律诗　押元韵	木落荒原水气昏，英雄渔钓迹犹存。蒯通不售三分策，漂母长留一饭恩。人叹老臣知国士，天哀女子杀王孙。藏弓烹狗由来事，只合终身淮上村①。
城南二首次宋五嘉升韵（清·徐昂发）　　七言律诗　押萧韵	汉室曹瞒是獍枭，猘儿年少欲横挑。刀围玉帐觞公瑾，花簇珠屏舞大乔。水上神书才息焰，床头明镜旋生妖。蟠龙门外牛羊墓，荞麦粘天似雪飘①。
集秀野草堂醉后作（清·徐昂发）　　七言律诗　押东韵	飞扬意气未磨砻，五岳崚嶒方寸中。草木尚生无患子，男儿那作可怜虫。逢花茗艼为愁饮，结柳逡巡叹学穷。至竟文章成底事，莫临辽海哭秋风①。
次韵答曰容秋夕醉歌（清·徐昂发）	江城千雉秋云锁，匠门一角斜阳堕。张也洒扫蜗牛庐，壶尊为右图书左。未能跋浪凌沧溟，自要深杯浇坎坷。榨头酒熟奔渴蜂，壁窍虫鸣咒土蠃。盏推莲子斗分曹，钩传黄菊拈残朵。蟹螯斫雪白纷纶，橘柚摇霜绿髲𩭝。郭生年少夸翩翩，顾子颓唐亦颇颇。诙谐弄笔责奴髯，游戏斯文诮奚跛。顾我常戒贺若锥，当筵敢学祢衡裸。匿影恒比尺蠖屈，外语还防箕舌簸。贫家本住千花村，秫米行收万珠颗。鸡豚作社旧曾偕，羊酒讲婚无不可。辞君却棹渔{舟卬}还，解帻横当波面坐。青山盘髻冷看人，白鹭刷衣间候我。好携蓑笠采莼鲈，长与忧煎脱缠里。
下田雨叹（清·徐昂发）　　押阳韵	古者制田亩，其要维沟防。崇方与广杀，秩秩悬宪章。厥田虽沮洳，堤岸峻且强。水淫不能灾，歉岁成丰穰。汉时贤守令，此义尚肃将。奈何千载下，朘剥为循良。养人乃食人，田事岂所详。遂使三尺雨，下隰波沧浪。呜呼匠人职，古法未渺茫。沟防废不修，万姓罹凶荒。一言俟采风，吏责非天殃①。
夏寒（清·徐昂发）	天地张阴机，日夕风雨横。雷霆暗不吐，萧条万象静。枕席霾雾宿，窗牖波涛泳。缊絮复启箧，绤衣尽除屏。凉入肌骨酸，气中藏府病。乘时妖厉作，钱镈无人竞。借问此何时，指牛看斗柄。温风不应候，其国少缓政。况复阴沴结，懔懔如冬孟。方今国用宽，陛下甚明圣。比岁膏泽降，凶札悯万姓。奈何厥罚寒，凭陵当火正。毋乃群有司，下意慢上令。大祲大㾐馀，征求恣考榜。刑峻伤天和，敛急剿民命。国家制廪禄，岂曰饲谀佞。愁云塞八荒，终夜心怲怲①。
雁门关（清·徐昂发）	昨升系舟山，试望雁门塞。巀嶪阵云黑，势与玄岳配。及兹赴谷口，局步入烟霭。曲曲山根盘，层层苍壁对。岚光自摩荡，岩壑递明晦。古雪滋阴崖，新泉下奔濑。猿猱一线路，迥出飞鸟背。侧磴上空曲，攀危凌地籁。始知经陟高，足底群峰会。玄冥操斗柄，制此天北戒。插汉立雄关，蕃畿隔内外。东掠凤皇城，西极菖蒲海。呼吸万里通，形胜兵家最。信乃天下蔽，讵惟三晋隘。时清关门开，耕田铸矛镦。不见沙土中，箭镞馀腥在。
铁岭关（清·徐昂发）	铁岭负青天，岝崿耸岭背。峰连削壁险，路入倾崖晦。兵家矜却笠，地势雄守隘。束马贯层峦，贾勇陟危塞。山盘鸟道纡，磴转硖角对。沓石堕仍倚，飞泉散复汇。鸣蝉响清越，树密昼阴暧。力前忽斗下，猛进眩反退。折趾谅不辞，我仆嗟已殆。三关信雄杰，乘鄣此亦最。山形接北荒，边琐通恒代。缅昔豺虎斗，百战争要害。设险殃万民，茫茫咎真宰①。
