凌晨（唐·卢照邻）　　五言律诗　押支韵	日掩鸿都夕，河低乱箭移。虫飞明月户，鹊绕落花枝。兰襟帐北壑，玉匣鼓文漪。闻有啼莺处，暗幄晓云披。
陇头水（唐·卢照邻）　　五言律诗　押阳韵	陇阪高无极，征人一望①乡。关河别去水，沙塞断归肠。马系千年树，旌悬九月霜。从来共呜咽，皆是为勤王。
望宅中树有所思（唐·卢照邻）　　五言律诗　押支韵	我家有庭树，秋叶正离离。上舞双栖鸟，中秀合欢枝。劳思复劳望，相见不相知。何当共攀折？歌笑此①堂垂。
送梓州高参军还京（唐·卢照邻）　　五言律诗　押侵韵	京洛风尘远，褒斜烟露①深。北游君似智，南飞我异禽。别路琴声断，秋山猿鸟吟。一乖青岩酌，空伫白云心。
大剑送别刘右史（唐·卢照邻）　　五言律诗　押寒韵	金碧禺山远，关梁蜀道难。相逢属晚岁，相送动征鞍。地咽绵川冷，云凝剑阁寒。倘遇忠孝所，为道忆长安。
刘生（唐·卢照邻）　　五言律诗	刘生气不平，抱剑欲专征。报恩为豪侠，死难在横行。翠羽装刀鞘，黄金饰②马铃①。但令一顾重，不吝百身轻。
雨雪曲（唐·卢照邻）　　五言律诗　押庚韵	虏骑三秋入，关云万里平。雪似胡沙暗，冰如汉月明。高阙银为阙，长城玉作城。节旄零落尽，天子不知名。
昭君怨（唐·卢照邻）　　五言律诗　押微韵	合殿恩中绝，交河使渐稀。肝肠辞玉辇，形影向金微①。汉地草应绿，胡庭沙正飞。愿逐三秋雁，年年一度归。
折杨柳（唐·卢照邻）　　五言律诗　押微韵	倡楼启曙扉，杨①柳正依依。莺啼知岁隔，条变识春归。露叶凝愁黛②，风花乱③舞衣。攀折聊将④寄，军中音⑤信稀。
十五夜观灯（唐·卢照邻）　　五言律诗　押先韵	锦里开芳宴，兰缸艳早年。缛彩遥分地，繁光远缀天。接汉疑星落，依楼似月悬。别有千金笑，来映九枝前。
入秦川界（唐·卢照邻）　　五言律诗　押东韵	陇阪长无极，苍山望不穷。石径萦疑断，回流映似空。花开绿野雾，莺啭紫岩风。春芳勿遽尽，留赏故人同。
文翁讲堂（唐·卢照邻）　　五言律诗　押青韵	锦里淹中馆，岷山稷下亭。空梁无燕雀，古壁有丹青。槐落犹疑市，苔深不辨铭。良哉二千石，江汉表遗灵。
相如琴台（唐·卢照邻）　　五言律诗　押真韵	闻有雍容地，千年无四邻。园院风烟古，池台松槚春。云疑作赋客，月似①听琴人。寂寂啼莺②处，空伤游子神。
石镜寺（唐·卢照邻）　　五言律诗　押先韵	古墓芙蓉塔，神铭①松柏烟。鸾沈仙镜底，花没梵轮前。铢衣千古佛，宝月两重圆。隐隐香台夜，钟声彻九天。
辛法司（一作司法）宅观妓（唐·卢照邻）　　五言律诗　押灰韵	南国佳人至，北棠罗荐开。长裙随凤管，促柱送鸾杯。云光身后落，雪态掌中回。到愁金谷晚，不怪玉山颓。
春晚山庄率题二首（唐·卢照邻）　　五言律诗　押东韵	顾步三春晚，田园四望通。游丝横惹树，戏蝶乱依丛。竹懒偏宜水，花狂不待风。唯馀诗酒意，当了一生中。
江中望月（唐·卢照邻）　　五言律诗　押阳韵	江水向涔阳，澄澄写月光。镜圆珠留彻，弦满箭波长。沈钩摇兔影，浮桂动丹芳。延照相思夕，千里共沾裳。
元日述怀（唐·卢照邻）　　五言律诗　押真韵	筮仕无中秩，归耕有外臣。人歌小岁酒，花舞大唐春。草色迷三径，风光动四邻。愿得长如此，年年物候新。
益州城西张超亭观妓（唐·卢照邻）　　五言律诗　押真韵	落日明歌席，行云逐舞人。江前飞暮雨，梁上下轻尘。冶服看疑画，妆楼望似春。高车勿遽返，长袖欲相亲。
还京赠别（唐·卢照邻）　　五言律诗　押萧韵	风月清江夜，山水白云朝。万里同为客，三秋契不凋。戏凫分断岸，归骑别高标。一去仙桥道，还望锦城遥。
