秋日杂怀八首（清·钱曾）　　七言律诗　押歌韵	雾塞飙回六鹢过，月中影是旧山河。悠悠身世长如此，忽忽人情定若何。楚戍荒烟迷鼓角，苏台衰草阻干戈。临风一掬新亭泪，几度凄然怅望多。
辛亥岁暮杂诗二十首（清·钱曾）　　七言律诗　押麻韵	暮景飞腾足叹嗟，强扶蒜发斗霜华。罨头欲掩栖瓶雀，遮尾难邀赴壑蛇。点砌残花虚掩冉，摇窗瘦竹故欹斜。闲身赢得真无事，拨动炉灰兴未赊。
无题（清·钱曾）　　七言律诗　押删韵	鸦重蝉轻宫样鬟，春寒连晓镜台间。星河有路原通海，云雨含情欲下山。荷叶田田金项去，桃花漠漠翠衣还。罗屏迭锦分明见，一片虾须抵九关。
感怀二首（清·钱曾）　　七言律诗　押阳韵	酒阑危坐泪沾裳，极目云烟总断肠。伏地有心悲度苦，守门无计笑颠当。时危空叹陈琳老，世乱难容阮籍狂。落日满城人怅望，可堪光景似山阳。
秋目远望怅然有感（清·钱曾）　　七言律诗　押灰韵	危时无处用非才，倦倚阑干病眼开。夜气满楼月未上，秋声垂地雁初来。寂寥滋味归时卷，护落生涯信酒杯。可叹年华容易去，门前逝水递相催。
早春闲居十首效天随体（清·钱曾）　　七言律诗　押阳韵	忽觉春风入短墙，旧游如梦费思量。家资闲破修琴料，口数新增喂鹤粮。病起和云支药鼎，愁来傍月认书囊。有时自笑谋生拙，橡饭菁羹也不妨。
悲秋（清·钱曾）　　七言律诗　押庚韵	蓬沙千里莫云平，望帝魂游白帝城。金爵风烟天地恨，玉衣霜露古今情。伶官压笛悲啼竹，宫女吹箫忆荐樱。不道兴衰竟如是，离离禾黍泪纵横。
蝶（清·钱曾）　　七言律诗　押文韵	曲廊回处正斜曛，弄影随风自作群。曾恃粉衣欺艳雪，几缘香梦惹行云。斜穿帘幕深深见，飞过池塘故故分。送得南园花草尽，正教愁杀杜司勋。
梅村先生枉驾相访，酒间商榷绥寇纪略，有感赋此（清·钱曾）　　七言律诗　押阳韵	迢然影事未能忘，郑重停车问草堂。借箸漫言山聚米，引杯兼笑海生桑。秦关鹿走当年火，吴苑乌啼此夜霜。指点旧京愁历历，为公枨触恨偏长。
湘灵先生移居诗（清·钱曾）　　七言律诗　押东韵	甲子迁讹昔梦中，维桑回首又春风。吟怀平卷三分月，儒行虚留一亩宫。莫讶孟郊家具少，翻嫌徐邈酒枪空。往时文彩吾能记，容易人间著此翁。
秋夜宿破山寺绝句（清·钱曾）　　七言绝句　押歌韵	空庭月白树阴多，崖石巉岩似钵罗。莫取琉璃笼眼界，举头争忍见山河。
奉和红豆诗（录二）（清·钱曾）　　七言绝句　押灰韵	绛雪枝头佳气开，长筵光映紫霞杯。登真宴上群真笑，不放良常日月催。
海上谣（清·钱曾）	浪花压压凉蟾小，龙堂画壁椒泥老。玉壶叩破不分明，香烟熏杀鸳鸯鸟。长眉海女骑青鸾，隔云含笑抛金环。鲤鱼不为寄书去，珊瑚枯死如枯兰。
西陵曲（清·钱曾）	沙堤草细芳姿暖，夹路幽兰新叶短。郎去西陵觅燕钗，碾花双月泥金干。松脂入地古香消，琥珀成来蜂折腰。别脸啼春归鬓晓，柳风吹梦上河桥。
