抽添颂 其一（宋·周无所住）　　五言绝句　押支韵	若问抽添法，纵擒怕觉迟。调停无损益，方始證无为。
火候颂（宋·周无所住）　　五言绝句　押灰韵	真火本无候，时人休强猜。要知端的意，无去亦无来。
沐浴颂（宋·周无所住）　　五言绝句　押东韵	沐浴无他术，休寻卯酉中。困眠饥吃饭，无日不春风。
温养颂（宋·周无所住）　　五言绝句　押先韵	恬淡无思虑，虚无任自然。胎圆神自化，我命不由天①。
玄关一窍颂（宋·周无所住）　　七言绝句　押东韵	一窍才通万窍通，丝毫不动露真空。个中便是真宗祖，认著依前又不中。
真土颂（宋·周无所住）　　七言绝句　押尤韵	真土从来名强立，学人不晓谩傍求。若知真土为中道，何必骑牛更觅牛。
阳晶颂（宋·周无所住）　　七言绝句　押侵韵	全清绝点号阳晶，才有纤瑕便属阴。多少神仙皆不说，谁人肯向此留心。
斤两颂（宋·周无所住）　　七言绝句	不圆不缺行中道，著意忘怀便落偏。更言二八一斤数，开眼明明被孰瞒。
抽添颂 其二（宋·周无所住）　　七言绝句　押霰韵	识得真心无不遍，自己不明被物转。可怜无限守株人，退铅进汞错方便。
工夫颂（宋·周无所住）　　七言绝句　押支韵	百刻工夫一刻推，一刻还同十二时。十二时中归一念，念中无念始真奇。
玄牝颂（宋·周无所住）	万物芸芸，各归其根。识得根源，玄牝虚传。
龙虎颂（宋·周无所住）　　押屑韵	龙虎猖狂，心念炎烈。慧剑才挥，二兽俱灭。
铅汞颂（宋·周无所住）	欲识铅汞，情性二物。二物和合，还丹了毕。
真炉鼎颂（宋·周无所住）　　押寘韵	头上顶天，脚下踏地。中有一物，煅成宝器。
法度颂（宋·周无所住）	清净药材，密意为丸。十二时中，无念火煎。
口诀颂（宋·周无所住）　　押蒸韵	意到心诚，湛然若凝。昼夜无间，效验自应。
