夜坐寄怀（明·卢象升）　　七言律诗　押先韵	买山而隐乃无钱①，富可求乎请执鞭。六载从官仍四壁，八年叨第也三迁。高张白眼②惭时态，细检青箱忆旧毡③。夜告自堪苍冥对，天空灵物亦依然④。
寄赠常中丞（明·卢象升）　　七言律诗　押尤韵	名藩历典几分忧，大府新开藉壮猷。万里风云劳击楫①，十年江海忆同舟②。天回白日纾南顾，手挽黄河会倒流。绝塞当关人易老，怀君更上月中楼。
游海螺山（明·卢象升）　　七言律诗　押先韵	重过灵岩思渺然，举杯邀月到山巅。浮云聚散知吾意，怪石嵯峨睹别天。济胜②且论尘外事①，逢僧聊话口头禅。烟霞寄傲馀今夕，望迥青霄我欲仙。
登太虚楼鼓琴（明·卢象升）　　七言律诗　押尤韵	潇湘逸响水云流，雁阵惊回明月楼。偶然登眺呜幽兴，翻为丝桐搅别愁。良夜有情应不寐，征途无主为谁留。何年得遂初衣赋①，归卧深山鹿豕游。
大伾山石佛（明·卢象升）　　七言律诗　押寒韵	孤山突兀起层峦，石壁菩提玉掌寒。磴拂苍虬千岁老，襟流疋练①几回湍。禅光若共林光隐，法界原同下界宽。应是巨灵曾劈处②，芙蓉觌面切云看③。
望夫石（明·卢象升）　　七言律诗	匪石坚贞谁氏妻，芳魂已逐杜鹃西。千里时悬关塞目，百年空对远山眉。梳云掠雨饶妆点，泣月悲风叹粉泥。燕燕莺莺畴作侣，忽闻山峡有猿啼。
过穆陵关（明·卢象升）　　七言律诗　押真韵	介马临戎壁垒新，连天烽火叹无民。挥戈欲洗山河色，仗策思援饥溺人。安奠苍生千古事，扫除逋寇八年尘。携归两袖清风去，坐看閒云不厌贫。
过恨这关（明·卢象升）　　七言律诗	千古英雄恨这关，疆分豫楚几重山。龙泉①羽士嫌岑寂，鸟道征人叹往还。剑削芙蓉身欲奋，幽栖岩壑意仍閒。遐思忠义当年事，历尽江山识岁寒。
失题四首 其四（明·卢象升）　　五言绝句　押齐韵	高拂柳丝齐①，莺声满御堤。风送名花落，香红衬马蹄。
咏庭鹤（明·卢象升）　　七言绝句　押尤韵	霜姿玉质孰为俦，时向空庭拟胜游。与尔乘风霄汉去，眼中不见十三洲。
咏游丝（明·卢象升）　　七言绝句　押东韵	娇难著雨弱随风，似有疑无入望中。高拂楼台低绕径，春光牵惹过墙东。
画眉（明·卢象升）　　七言绝句　押文韵	玉指轻将两袖分，菱花①照出斗弯纹。巫山十二堪描写，浅黛斜侵拂鬓云。
过黄粱祠（明·卢象升）　　七言绝句　押真韵	曾闻世有卢生梦，我梦卢生即此身。今古谁醒复谁梦，吕翁同作梦中人。
中秋二首（明·卢象升）　　七言绝句　押文韵	静里丝桐猿鹤闻，三秋景色已平分。良夜新晴月皎皎，碧霄散尽苍梧云①。
梅归山（明·卢象升）　　七言绝句	披星介马身虽顿，拂水捎云意自閒。历落层崖最幽处，支公不用买山钱。
过太平驿（明·卢象升）　　七言绝句　押庚韵	谁挽天河洗甲兵，金戈铁马旅人情。请缨①岂是书生业，倚剑长吟祝太平。
十骥咏 御赐千里雪（明·卢象升）　　七言绝句　押东韵	疋练①飞腾眼界空，白云为窟矫如鸿。轻麾羽骑狼烟靖②，长驾应推第一功。
失题四首 其一（明·卢象升）　　七言绝句　押文韵	十年仗策气如云，匹马临戎拟册勋。不遇岂因臧氏子，数奇原是李将军。
景韩堂（在大名府署即今晚香堂）漫笔（一作率意吟）五首 其一 橘中老人（明·卢象升）	橘中老人剖而出，壶内仙翁跳而入。壶橘原藏世界中，老仙毕竟何所终。蛟螭灭没忘大海，鹤鹄鶱翔狎泰岱。芥子须弥①我自观，四大藏于天地宽②。
贺新居一首（明·卢象升）　　押漾韵	大都名世士，出处俱不妄。不读万卷书，岂足成高尚。羡子烟霞骨，身情复奇旷。结屋小溪口，溪水清且漾。几案自楚洁，轩窗垲以畅。晤言一室中，心足千古上。讵比子云居①，时吹太乙杖②。我亦勇退者，岂曰恋禄养。第以圣明时，未答苍生望。区区丘壑怀，念与风尘抗。每听诵移文，北山果无恙。焉得归去来，依君共相向。
