自题画凤仙花（当代·金鉴才）　　五言律诗　押先韵	佩环故何事，窜谪到篱边。冰质欲人识，宵风伴月眠。明妃无俗格，画匠屈真妍①。争若田家子，生涯细雨天。
暑夜即事（当代·金鉴才）　　五言律诗　押东韵	日暮炊烟起，农家乐最融。解衣论作物，把酒预年丰。烧艾蚊嚣远，呼风暑燠同。满塘明月碎，击水戏群童。
七月廿一日喜雨（当代·金鉴才）　　五言律诗　押支韵	一响沉雷发，开帘暑气随。楼高闻讯早，天阔渡云迟。渐见平芜小，始知雨脚移。忽然瓢泼下，惊起倒金卮。
春夜孤山访梅（当代·金鉴才）　　五言律诗	闻道寒梅发，寻芳入旧途。烟笼三水邈，影扑一帘疏。相对话知己，沉吟说故吾。清芬来鼻底，触额有花殊。
清明题江山旅壁（当代·金鉴才）　　五言律诗　押阳韵	不歇清明雨，旅思夜转长。衔杯馀只影，别梦冷孤床。佳节匆匆度，名花寂寂香。何以慰此意，春气透疏篁。
登兰江亭（当代·金鉴才）　　五言律诗　押尤韵	独立江亭①晚，苍苍草木秋。接天环碧水，竞渡有轻舟。楼阁千重影，青山一片浮。从来怀梦想，明月绕中洲②。
万县夜泊（当代·金鉴才）　　五言律诗　押蒸韵	举首望南浦①，楼船夜可登。月攀千仞嶂，江漂一城灯。鱼跃下沉锚，人慵坐倦僧。茫茫烟水阔，有梦亦清澄。
过浦江马岭（当代·金鉴才）　　五言律诗　押咸韵	驱车过马岭，大雾湿征衫。黑雨侵云树，孤峰列远帆。颇思羽化去，故为俗言谗。聊自纵游目，此行诚不凡。
游千岛湖（当代·金鉴才）　　五言律诗　押尤韵	平湖千顷碧，迭迭送轻舟。日出鳞光烁，岚腾岛影浮。市声传又渺，樵唱听还悠。指点蓬山景，翩翩起白鸥。
游大慈岩（当代·金鉴才）　　五言律诗　押冬韵	危寺悬天外①，云封不响钟。重台栖夜月，仄径漱春淙。野竹随风长，残花泣露浓。慈岩无上界，能得几行踪。
断桥遇暴雨（当代·金鉴才）　　五言律诗　押先韵	云黑光蛇起，雷崩睫眦前。快风抟暑气，急雨立湖天。弱柳随波舞，孤舟拍岸颠。俄顷消散处，晚日枕江眠。
次韵答蔡树农二首（当代·金鉴才）　　五言律诗　押庚韵	昔吟湖上月，头角忆峥嵘。聊发吾庐想①，长怀栗里②声。往来还自惜，表里有公评。暇日频回首，崎岖不可行。
题玉簪竹石图（当代·金鉴才）　　五言律诗　押侵韵	吹箫恋竹径，当月起孤吟。座上清光满，樽中暮色深。寒烟笼曲水，春气出疏林。晞发①乘风去，何须问玉簪。
送毛君赴京（当代·金鉴才）　　五言律诗　押麻韵	长笑入京华，男儿处处家。晴空展鹏翼，玉露润篱花。野老殷殷别，朋僚啧啧誇。相期传捷报，歌唱赋流霞①。
送扬儿赴欧洲考察（当代·金鉴才）　　五言律诗　押尤韵	十载攻经济，三年冥搜求。一朝开羽翼，万国结英俦。眼岂浮云蔽①，心宁长物留。神州风雨起，唤汝快登楼。
送李从军奉调进京（当代·金鉴才）　　五言律诗　押侵韵	相识六安子①，浩然见古心。兴来频泼墨，吟罢一横琴。高格梅含雪，幽怀月在林。西湖烟水阔，随处有知音。
薄暮过杭州上天竺法喜寺（当代·金鉴才）　　五言律诗	年来性好静，逃暑向山行。寺晚钟声寂，风微蝉唱清。谈禅销永日，论道觉三生。惆怅林泉路，今无辩老迎①。与子成二老，来往亦风流。
携操儿登五云山（当代·金鉴才）　　五言律诗　押虞韵	五云何处集，禅院已荒芜。风急江声渺，天长雁字孤。流年伤老树①，落日下平湖。坐久茶烟冷，看山兴未枯。
自题消夏山居图（当代·金鉴才）　　五言律诗　押青韵	夏山如铸铁，松色入云青。花尽渔津失，峰危鸟迹零。深居无俗侣，映卷有流萤。欲问桃源事，绿天已满庭。
自题墨梅册（当代·金鉴才）　　五言律诗　押删韵	绝壑有奇树，高标白云间。疏枝含古雪，绿萼点空山。挂影惊凡鸟，飞香出大关。莫言桃李下①，时有幽人还。
