晚霁（宋·钱时）　　五言律诗　押东韵	斑驳天穿漏，惊奔浪叠空。山留宿雨碧，云受夕阳红。蚕麦关时务，莺花怯老翁。乾坤方寸地，今古一丝风①。
新晴（宋·钱时）　　五言律诗	宿云穿日薄，商略作新晴。燕子先期社，海棠今日春。溪山双白鬓，天地一闲身。无语东风里，飞花乱扑人。
冬窝夜语（宋·钱时）　　七言律诗　押尤韵	幽人只合卧林邱，不觉心幽境①更幽。青汗有时昭帝则，黑甜馀暇伴宾游。黄花粲粲冬窝夜，丹叶萧萧蜀阜秋。会得个中消息理，两眉不著世间愁。
联辉阁诗（宋·钱时）　　七言律诗　押蒸韵	拂拂精蓝护翠云，几番雷雨卧龙兴。两贤高躅明千佛，三世传家又一灯。白社风流原有地，青编事业岂依僧。山川姓字从兹响，看取天衢次第登①。
新亭落成（宋·钱时）　　七言律诗　押先韵	峭壁擎空不偶然，自从开辟我周旋。放开西北三边地，托起东南一片天。得句谩酬康节韵，知音未断伯牙弦。太平风蕗真堪老，不属枯禅不属仙。
高斋晚步（宋·钱时）　　七言律诗　押歌韵	上有鹰鹯下网罗，千重云水万重波。安之若命心无慊，知者其天尔奈何。面面好山清净供，声声幽鸟太平歌。凭谁寄语乔丞相，尽觉门中受用多①。
溪南遇雨（宋·钱时）　　七言律诗　押微韵	溪风飒飒雨霏霏，秋满蘋汀独步归。丹噀园林棠叶老，锦缠篱落豆花肥。眼前风景依然在，个里光阴得者稀。忆著岁寒云壑上，山禽对雨傍人飞①。
晚步即事（宋·钱时）　　五言绝句　押微韵	晚行丛竹下，群雀忽惊飞。一笑为回首，拈花上翠微。
安素午睡（宋·钱时）　　五言绝句　押阳韵	禾黍秋相近，溪山日自长。午窗千嶂雨，幽梦一帘香①。
登蜀阜（宋·钱时）　　七言绝句　押删韵	丹桂孤芳众木间，枯枝蠹叶苦间关。古来群枉难为并，培植灵根得等闲。
九月望徙坐冬窝（宋·钱时）　　七言绝句　押歌韵	黄花弄影日婆娑，一夜秋风百感多。门外红尘深几许，老夫今日坐冬窝。
澄光两桂颇困（原误作因）藤蔓为一痛扫遂复洒然（宋·钱时）　　七言绝句　押阳韵	两桂扶疏岸碧塘，半年不到便荒凉。秋风一扫閒缠绕，放出金花自在香。
睡起即事（宋·钱时）　　七言绝句　押阳韵	梦破幽窗午漏长，岁寒心事只寻常。一声谷鸟穿林出，数点梅花满院香。
上冢（宋·钱时）　　七言绝句　押灰韵	春到人家齐上冢，纸钱蒿里白皑皑。獭鱼豺兽难磨灭，岂是师门学得来。
无题二首（宋·钱时）　　七言绝句　押庚韵	蜗角封疆几废兴，壶中日月尽分明。世间多少不平事，只有心平处处平。
夜观汝溪二侄象棋（原误作某）四首（宋·钱时）　　七言绝句　押支韵	对河车马夜枰棋，活路经营尽入思。虑患谋身每如许，不应容易落便宜。
无题（宋·钱时）　　七言绝句　押真韵	临池绿树阴阴合，入竹黄花颗颗新。世外别无安乐国，寰中真有太平人。
别许正甫（宋·钱时）　　七言绝句　押支韵	昭如揭日莫生疑，万变纵横用者谁。会得有言犹是病，向无言处更深思。
冬窝枕上（宋·钱时）　　七言绝句　押寒韵	霜中老柏无时事，岩下孤云自岁寒。西院木鱼东院鼓，冬窝客子正浓鼾。
盆梅倒植刳朽根作古怪僧复接杏花其上小诗吊之（宋·钱时）　　七言绝句　押阳韵	倒植盘梅已反常，无端更接杏花芳。东君可是能时样，姑射山人也艳妆。
